Invoice_ID,Date,Month,Year,Order_Channel,Product_Name,Product_Category,Unit_Price,Quantity_Sold,Total_Sales,Discount (%),Net_Revenue,Profit_Margin (%),Customer_ID,Customer_Type,Customer_Location,Stock_Availability,Delivery_Status,Delivery_Time (Days),Return_Status
d635a08a,2024-11-15,11,2024,Retail Store,Fevicol SH,Adhesive,184,39,7176,5.36,6791.3664,26.32,bbb9ba,Industrial Buyer,Ahmedabad,Available,Pending,,Not Returned
633fafbe,2025-01-27,1,2025,Online,Fevicol Marine,Industrial Glue,426,5,2130,3.22,2061.414,14.75,856e42,Retailer,Kolkata,Available,Cancelled,,Not Returned
e26c0961,2023-03-06,3,2023,Online,Fevicol FastGrip,Quick Adhesive,76,15,1140,3.18,1103.748,24.75,d5e75f,Direct Consumer,Ahmedabad,Out of Stock,Delivered,6.0,Not Returned
3a084f51,2023-09-08,9,2023,Retail Store,Fevicol FastGrip,Quick Adhesive,142,35,4970,14.0,4274.2,23.2,6e8ec2,Wholesaler,Kolkata,Out of Stock,Cancelled,,Returned
ba704fa2,2024-07-25,7,2024,Distributor,Fevicol FastGrip,Quick Adhesive,110,21,2310,3.25,2234.925,21.49,d963a5,Wholesaler,Ahmedabad,Available,Pending,,Returned
cbde737d,2024-10-21,10,2024,Online,Fevicol Marine,Industrial Glue,307,26,7982,8.03,7341.0454,25.77,3b723e,Wholesaler,Bangalore,Available,Pending,,Not Returned
a4092bac,2024-06-08,6,2024,Retail Store,Fevicol FastGrip,Quick Adhesive,91,9,819,9.44,741.6864,21.43,57b9c8,Industrial Buyer,Kolkata,Available,Cancelled,,Not Returned
138f6dc8,2025-01-04,1,2025,Online,Fevicol HeatX,Heat-Resistant,325,33,10725,0.69,10650.9975,23.32,207ae0,Direct Consumer,Hyderabad,Out of Stock,Cancelled,,Not Returned
36f61e29,2023-06-27,6,2023,Online,Fevicol HeatX,Heat-Resistant,156,49,7644,11.23,6785.5788,17.25,43a353,Direct Consumer,Kolkata,Out of Stock,Delivered,4.0,Not Returned
7cbb551a,2023-05-08,5,2023,Online,Fevicol Marine,Industrial Glue,300,22,6600,6.87,6146.58,21.99,eb10a4,Industrial Buyer,Mumbai,Available,Cancelled,,Returned
